subject,cond,fd
sub-189,US,0.161557068076923
sub-189,CS,0.11145884348214283
sub-189,CSm,0.1350036221071428
sub-205,US,0.10715390253846149
sub-205,CS,0.10327077189285713
sub-205,CSm,0.09104792838392853
sub-071,US,0.19182296519230768
sub-071,CS,0.17254573689999994
sub-071,CSm,0.17559760533928573
sub-204,US,0.21659668846153846
sub-204,CS,0.19421950928571427
sub-204,CSm,0.2226584644642857
sub-085,US,0.2942798116153846
sub-085,CS,0.1849459923928571
sub-085,CSm,0.23557224132142854
sub-100,US,0.12474187415384612
sub-100,CS,0.1731324633928571
sub-100,CSm,0.13416025678571425
sub-132,US,0.2836364498846154
sub-132,CS,0.20679052857142863
sub-132,CSm,0.23939463965357138
sub-185,US,0.19003361038461536
sub-185,CS,0.16475493196428573
sub-185,CSm,0.19866764187499997
sub-167,US,0.13162292903846154
sub-167,CS,0.12622108410714278
sub-167,CSm,0.14229086224999996
sub-043,US,0.21456478318461533
sub-043,CS,0.10859499653571424
sub-043,CSm,0.1951972341964286
sub-062,US,0.2621434589423077
sub-062,CS,0.24869086816071426
sub-062,CSm,0.2812166220535714
sub-073,US,0.7157906807692309
sub-073,CS,0.26679232301785716
sub-073,CSm,0.7210093202678571
sub-082,US,0.11782470730769226
sub-082,CS,0.11167949550892851
sub-082,CSm,0.1201757119642857
sub-030,US,0.15193169115384614
sub-030,CS,0.15750176496428567
sub-030,CSm,0.1708972885535714
sub-160,US,0.1807574874230769
sub-160,CS,0.23248306294642856
sub-160,CSm,0.18439381210178565
sub-196,US,0.09904778249999996
sub-196,CS,0.09728131374107138
sub-196,CSm,0.09949963098214283
sub-1223,US,0.10317165044230768
sub-1223,CS,0.1266473803410714
sub-1223,CSm,0.14585146999999993
sub-169,US,0.15887141317499995
sub-169,CS,0.15113124749999995
sub-169,CSm,0.13782273626607142
sub-1222,US,0.2589275935961538
sub-1222,CS,0.24319120053571425
sub-1222,CSm,0.2599817069642857
sub-055,US,0.5152680786538462
sub-055,CS,0.5823914713035714
sub-055,CSm,0.5792825264089284
sub-170,US,0.13095245076923073
sub-170,CS,0.1272970275
sub-170,CSm,0.12384545926785709
sub-047,US,0.3815815682307692
sub-047,CS,0.4058639900357143
sub-047,CSm,0.43004594625000003
sub-177,US,0.14459085903846153
sub-177,CS,0.12097983876785713
sub-177,CSm,0.13267371744642853
sub-130,US,0.07250985294230768
sub-130,CS,0.06717820103035711
sub-130,CSm,0.06758048062678566
sub-172,US,0.1253800212307692
sub-172,CS,0.10200291805357138
sub-172,CSm,0.09283603366964284
sub-200,US,0.14814483673076914
sub-200,CS,0.14112257332142855
sub-200,CSm,0.16419168830357136
sub-173,US,0.12968845249999997
sub-173,CS,0.12075706249999996
sub-173,CSm,0.1260260083571428
sub-026,US,0.2787060242769231
sub-026,CS,0.2964255170446428
sub-026,CSm,0.28321258410714284
sub-059,US,0.13336710499999999
sub-059,CS,0.11168231714285713
sub-059,CSm,0.11668037367857138
sub-072,US,0.28546861807692303
sub-072,CS,0.2938430946428571
sub-072,CSm,0.2576413935714285
sub-1232,US,0.14792687115384615
sub-1232,CS,0.14404584416071423
sub-1232,CSm,0.13518972383928568
sub-166,US,0.08252166749999998
sub-166,CS,0.07759510017857138
sub-166,CSm,0.06471734678571424
sub-032,US,0.1599569978653846
sub-032,CS,0.10995792510714283
sub-032,CSm,0.13634580603571428
sub-016,US,0.1318580327692307
sub-016,CS,0.12380546889285711
sub-016,CSm,0.11617963312499993
sub-1205,US,0.15002151807692304
sub-1205,CS,0.12396578380357139
sub-1205,CSm,0.14421397607142852
sub-186,US,0.4013503031923077
sub-186,CS,0.42133033160714284
sub-186,CSm,0.41799457410714286
sub-056,US,0.10211173542307687
sub-056,CS,0.13798620848214282
sub-056,CSm,0.12436532762499997
sub-053,US,0.08826242280769227
sub-053,CS,0.10160762298214283
sub-053,CSm,0.08638134796428568
sub-150,US,0.10216247534999995
sub-150,CS,0.09149316258928568
sub-150,CSm,0.07983606266071423
sub-065,US,0.21902744673076924
sub-065,CS,0.2322740140178571
sub-065,CSm,0.2060807687053571
sub-154,US,0.12009974807692309
sub-154,CS,0.10743507455357137
sub-154,CSm,0.1161476591071428
sub-193,US,0.1809304483384615
sub-193,CS,0.18062224837946425
sub-193,CSm,0.21578691289285712
sub-165,US,0.16873019538461534
sub-165,CS,0.22451874982142855
sub-165,CSm,0.23590641544642854
sub-103,US,0.20076019980769227
sub-103,CS,0.18189478682232138
sub-103,CSm,0.20080521776785715
sub-168,US,0.0806013380499999
sub-168,CS,0.0710321825892857
sub-168,CSm,0.07609613294107138
sub-102,US,0.06930486269230765
sub-102,CS,0.061886156455357104
sub-102,CSm,0.0724364983303571
sub-048,US,0.1281765241153846
sub-048,CS,0.09348455830357139
sub-048,CSm,0.09397228182142854
sub-027,US,0.17488861799999994
sub-027,CS,0.1809730194642857
sub-027,CSm,0.16502823589285712
sub-182,US,0.07060119042307687
sub-182,CS,0.06879811785714282
sub-182,CSm,0.06861215232142855
sub-202,US,0.12591830307692306
sub-202,CS,0.10099699934642854
sub-202,CSm,0.10696009194642854
sub-203,US,0.12351892907692304
sub-203,CS,0.10362552151785709
sub-203,CSm,0.12403312164285711
sub-066,US,0.2127092545384615
sub-066,CS,0.19319441705357138
sub-066,CSm,0.24255800744642858
sub-038,US,0.13963483961538456
sub-038,CS,0.13565667026785713
sub-038,CSm,0.1353291161607143
sub-184,US,0.1188524461538461
sub-184,CS,0.21467963544642862
sub-184,CSm,0.19762017139642857
sub-171,US,0.11563659649999994
sub-171,CS,0.13171540094642856
sub-171,CSm,0.1287398054285714
sub-179,US,0.16839952153846155
sub-179,CS,0.15351638089285716
sub-179,CSm,0.1821930264464285
sub-153,US,0.09927934415384612
sub-153,CS,0.0922335130714285
sub-153,CSm,0.09170107063571424
sub-144,US,0.09867226278846147
sub-144,CS,0.09824985646428566
sub-144,CSm,0.08655687256785713
sub-178,US,0.07588870126923072
sub-178,CS,0.10268876348214283
sub-178,CSm,0.12026562071428568
sub-063,US,0.3423964365384615
sub-063,CS,0.3738939586785714
sub-063,CSm,0.36164246714285714
sub-010,US,0.2079471495576923
sub-010,CS,0.15756908923928567
sub-010,CSm,0.17757281760714286
sub-158,US,0.24029982
sub-158,CS,0.23002772832142854
sub-158,CSm,0.22712470555357142
sub-083,US,0.1445415430769231
sub-083,CS,0.16990399307142853
sub-083,CSm,0.14881861749999997
sub-126,US,0.1786527178076923
sub-126,CS,0.16751358153571427
sub-126,CSm,0.18792757358928572
sub-152,US,0.13897318692307692
sub-152,CS,0.14296823428571423
sub-152,CSm,0.12465924981249996
